contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
BAC210401P00037000,2021-03-05 17:25:47,37.0,1.33,1.42,1.55,put,2021-04-01,0.07397260273972603,0.39306640625
BAC210401P00037500,2021-03-04 20:50:29,37.5,1.54,1.67,1.89,put,2021-04-01,0.07397260273972603,0.3985595703125
BAC210401P00038000,2021-03-03 20:34:44,38.0,1.75,1.99,2.34,put,2021-04-01,0.07397260273972603,0.43212890625
BAC210401P00038500,2021-03-04 16:33:07,38.5,2.2,2.32,2.88,put,2021-04-01,0.07397260273972603,0.487060546875
BAC210401P00039000,2021-03-02 16:55:08,39.0,2.53,2.68,2.91,put,2021-04-01,0.07397260273972603,0.4150390625
BAC210401P00040000,2021-03-05 17:30:42,40.0,3.35,3.5,3.8,put,2021-04-01,0.07397260273972603,0.4754638671875
BAC210409C00033500,2021-03-04 18:58:46,33.5,3.75,4.0,3.2,call,2021-04-09,0.0958904109589041,0.0
BAC210409C00034000,2021-03-03 15:22:19,34.0,3.35,3.55,2.98,call,2021-04-09,0.0958904109589041,0.0
BAC210409C00034500,2021-03-01 19:28:30,34.5,3.0,3.1,2.95,call,2021-04-09,0.0958904109589041,0.302734375
BAC210409C00035000,2021-03-04 20:59:30,35.0,2.6,2.76,2.45,call,2021-04-09,0.0958904109589041,0.27099609375
BAC210409C00035500,2021-03-05 20:46:02,35.5,2.24,2.41,2.34,call,2021-04-09,0.0958904109589041,0.31829833984375
BAC210409C00036000,2021-03-05 20:58:12,36.0,1.98,2.07,2.0,call,2021-04-09,0.0958904109589041,0.3106689453125
BAC210409C00036500,2021-03-05 20:03:31,36.5,1.62,1.79,1.75,call,2021-04-09,0.0958904109589041,0.323486328125
BAC210409C00037000,2021-03-05 20:57:14,37.0,1.43,1.51,1.44,call,2021-04-09,0.0958904109589041,0.318603515625
BAC210409C00037500,2021-03-05 20:53:05,37.5,1.18,1.28,1.23,call,2021-04-09,0.0958904109589041,0.31280517578125
BAC210409C00038000,2021-03-05 19:58:40,38.0,0.99,1.08,0.99,call,2021-04-09,0.0958904109589041,0.30029296875
BAC210409C00038500,2021-03-05 19:37:29,38.5,0.77,0.91,0.84,call,2021-04-09,0.0958904109589041,0.3082275390625
BAC210409C00039000,2021-03-05 20:49:23,39.0,0.65,0.71,0.73,call,2021-04-09,0.0958904109589041,0.3240966796875
BAC210409C00039500,2021-03-03 15:20:30,39.5,0.54,0.61,0.73,call,2021-04-09,0.0958904109589041,0.36346435546875
BAC210409C00040000,2021-03-05 19:05:20,40.0,0.43,0.5,0.41,call,2021-04-09,0.0958904109589041,0.2972412109375
BAC210409C00040500,2021-03-05 20:24:32,40.5,0.34,0.43,0.39,call,2021-04-09,0.0958904109589041,0.3173828125
BAC210409P00033500,2021-03-04 18:56:25,33.5,0.38,0.45,0.48,put,2021-04-09,0.0958904109589041,0.3851318359375
BAC210409P00034000,2021-03-04 18:28:54,34.0,0.47,0.53,0.5,put,2021-04-09,0.0958904109589041,0.360107421875
BAC210409P00034500,2021-03-05 19:45:25,34.5,0.54,0.67,0.65,put,2021-04-09,0.0958904109589041,0.3692626953125
BAC210409P00035000,2021-03-05 20:02:17,35.0,0.68,0.77,0.77,put,2021-04-09,0.0958904109589041,0.3515625
BAC210409P00035500,2021-03-05 17:48:47,35.5,0.78,0.96,0.93,put,2021-04-09,0.0958904109589041,0.34393310546875
BAC210409P00036000,2021-03-05 19:53:06,36.0,1.03,1.14,1.12,put,2021-04-09,0.0958904109589041,0.343017578125
BAC210409P00036500,2021-03-05 14:44:23,36.5,1.23,1.34,1.33,put,2021-04-09,0.0958904109589041,0.3466796875
BAC210409P00037000,2021-03-04 20:51:56,37.0,1.47,1.64,1.61,put,2021-04-09,0.0958904109589041,0.3607177734375
BAC210409P00037500,2021-03-03 16:25:30,37.5,1.73,1.9,2.12,put,2021-04-09,0.0958904109589041,0.40374755859375
BAC210409P00039000,2021-03-03 15:07:12,39.0,2.66,2.92,3.3,put,2021-04-09,0.0958904109589041,0.4522705078125
BAC210409P00040000,2021-03-04 20:35:47,40.0,3.45,3.55,4.0,put,2021-04-09,0.0958904109589041,0.4644775390625
BAC210416C00034000,2021-03-05 15:31:39,34.0,3.55,3.65,3.55,call,2021-04-16,0.11506849315068493,0.3338623046875
BAC210416C00035000,2021-03-05 20:59:13,35.0,2.84,2.93,2.85,call,2021-04-16,0.11506849315068493,0.3314208984375
BAC210416C00036000,2021-03-05 20:53:09,36.0,2.18,2.26,2.24,call,2021-04-16,0.11506849315068493,0.3314208984375
BAC210416C00037000,2021-03-05 20:54:37,37.0,1.63,1.72,1.67,call,2021-04-16,0.11506849315068493,0.3363037109375
BAC210416C00038000,2021-03-05 20:55:39,38.0,1.2,1.27,1.18,call,2021-04-16,0.11506849315068493,0.31097412109375
BAC210416C00039000,2021-03-05 20:54:45,39.0,0.83,0.93,0.89,call,2021-04-16,0.11506849315068493,0.32623291015625
BAC210416C00040000,2021-03-05 20:57:29,40.0,0.61,0.63,0.62,call,2021-04-16,0.11506849315068493,0.330810546875
BAC210416P00034000,2021-03-05 20:49:06,34.0,0.62,0.68,0.65,put,2021-04-16,0.11506849315068493,0.37841796875
BAC210416P00035000,2021-03-05 20:19:28,35.0,0.87,0.93,0.92,put,2021-04-16,0.11506849315068493,0.35430908203125
BAC210416P00036000,2021-03-05 20:53:21,36.0,1.21,1.32,1.22,put,2021-04-16,0.11506849315068493,0.335693359375
BAC210416P00037000,2021-03-05 19:11:14,37.0,1.68,1.74,1.88,put,2021-04-16,0.11506849315068493,0.3863525390625
BAC210416P00038000,2021-03-05 20:06:24,38.0,2.23,2.33,2.33,put,2021-04-16,0.11506849315068493,0.3485107421875
BAC210416P00039000,2021-03-05 16:07:07,39.0,2.89,2.96,3.4,put,2021-04-16,0.11506849315068493,0.4351806640625
BAC210416P00040000,2021-03-05 17:21:58,40.0,3.6,3.75,3.9,put,2021-04-16,0.11506849315068493,0.406494140625
BAC210423C00035000,2021-03-05 17:40:34,35.0,2.9,3.05,2.94,call,2021-04-23,0.13424657534246576,0.322265625
BAC210423C00036000,2021-03-04 20:53:13,36.0,2.27,2.42,2.38,call,2021-04-23,0.13424657534246576,0.33203125
