contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,put_call,exp_date
BAC210409C00040000,2021-03-03 20:06:37,40.0,0.38,0.47,0.49,call,2021-04-09
BAC210409P00033000,2021-03-02 18:59:03,33.0,0.42,0.51,0.54,put,2021-04-09
BAC210409P00033500,2021-03-03 15:11:50,33.5,0.51,0.6,0.47,put,2021-04-09
BAC210409P00034000,2021-03-03 16:34:34,34.0,0.61,0.73,0.58,put,2021-04-09
BAC210409P00034500,2021-03-03 18:09:28,34.5,0.7,0.89,0.67,put,2021-04-09
BAC210409P00035000,2021-03-03 17:19:33,35.0,0.93,1.06,0.85,put,2021-04-09
BAC210409P00035500,2021-03-03 18:47:31,35.5,1.11,1.25,1.1,put,2021-04-09
BAC210409P00036000,2021-02-26 20:45:56,36.0,1.35,1.46,1.23,put,2021-04-09
BAC210416C00033000,2021-03-03 20:51:17,33.0,3.8,3.95,3.95,call,2021-04-16
BAC210416C00034000,2021-03-03 20:47:29,34.0,3.1,3.25,3.15,call,2021-04-16
BAC210416C00035000,2021-03-03 20:59:12,35.0,2.42,2.5,2.48,call,2021-04-16
BAC210416C00036000,2021-03-03 20:56:51,36.0,1.86,1.94,1.91,call,2021-04-16
BAC210416C00037000,2021-03-03 20:56:55,37.0,1.4,1.46,1.44,call,2021-04-16
BAC210416C00038000,2021-03-03 20:59:27,38.0,1.01,1.08,1.04,call,2021-04-16
BAC210416C00039000,2021-03-03 20:59:02,39.0,0.73,0.79,0.79,call,2021-04-16
BAC210416C00040000,2021-03-03 20:55:15,40.0,0.52,0.57,0.57,call,2021-04-16
BAC210416P00033000,2021-03-03 20:10:21,33.0,0.59,0.61,0.59,put,2021-04-16
BAC210416P00034000,2021-03-03 20:59:34,34.0,0.83,0.88,0.83,put,2021-04-16
BAC210416P00035000,2021-03-03 20:24:46,35.0,1.18,1.2,1.16,put,2021-04-16
BAC210416P00036000,2021-03-03 20:25:42,36.0,1.56,1.63,1.53,put,2021-04-16
BAC210416P00037000,2021-03-03 20:36:02,37.0,2.09,2.19,2.05,put,2021-04-16
BAC210416P00038000,2021-03-03 20:49:33,38.0,2.74,2.82,2.61,put,2021-04-16
BAC210416P00039000,2021-03-03 19:52:41,39.0,3.45,3.55,3.19,put,2021-04-16
BAC210416P00040000,2021-02-26 14:31:43,40.0,4.2,4.35,4.16,put,2021-04-16
BAC210521C00033000,2021-03-03 20:28:49,33.0,4.3,4.45,4.45,call,2021-05-21
BAC210521C00034000,2021-03-03 20:44:42,34.0,3.6,3.7,3.67,call,2021-05-21
BAC210521C00035000,2021-03-03 20:57:16,35.0,3.0,3.05,3.08,call,2021-05-21
BAC210521C00036000,2021-03-03 20:52:39,36.0,2.45,2.52,2.52,call,2021-05-21
BAC210521C00037000,2021-03-03 20:39:12,37.0,1.96,2.06,2.1,call,2021-05-21
BAC210521C00038000,2021-03-03 20:56:12,38.0,1.6,1.64,1.6,call,2021-05-21
BAC210521C00039000,2021-03-03 20:59:30,39.0,1.25,1.31,1.29,call,2021-05-21
BAC210521C00040000,2021-03-03 20:58:23,40.0,1.0,1.02,1.04,call,2021-05-21
BAC210521P00033000,2021-03-03 20:48:17,33.0,1.0,1.07,0.98,put,2021-05-21
BAC210521P00034000,2021-03-03 20:42:39,34.0,1.3,1.39,1.35,put,2021-05-21
BAC210521P00035000,2021-03-03 15:38:14,35.0,1.67,1.78,1.58,put,2021-05-21
BAC210521P00036000,2021-03-03 20:59:25,36.0,2.12,2.22,2.15,put,2021-05-21
BAC210521P00037000,2021-03-03 19:56:59,37.0,2.65,2.75,2.52,put,2021-05-21
BAC210521P00038000,2021-03-03 15:40:23,38.0,3.2,3.35,3.15,put,2021-05-21
BAC210521P00039000,2021-03-03 15:11:29,39.0,3.9,4.05,3.9,put,2021-05-21
BAC210521P00040000,2021-02-26 20:59:59,40.0,4.6,4.75,4.5,put,2021-05-21
BAC210618C00035000,2021-03-03 20:59:07,35.0,3.2,3.35,3.35,call,2021-06-18
BAC210618C00037000,2021-03-03 20:23:03,37.0,2.25,2.35,2.4,call,2021-06-18
BAC210618C00040000,2021-03-03 20:48:57,40.0,1.23,1.3,1.33,call,2021-06-18
