contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
APHA210521C00022000,2021-04-26 17:06:16,20.0,22.0,0.15,0.19,0.19,call,2021-05-21,0.0684931506849315,1.09375
APHA210521C00023000,2021-04-26 18:51:22,9.0,23.0,0.14,0.17,0.14,call,2021-05-21,0.0684931506849315,1.09375
APHA210521C00024000,2021-04-26 14:34:32,4.0,24.0,0.13,0.15,0.1,call,2021-05-21,0.0684931506849315,1.09375
APHA210521C00025000,2021-04-26 17:32:36,18.0,25.0,0.1,0.13,0.1,call,2021-05-21,0.0684931506849315,1.1875
APHA210521C00026000,2021-04-22 18:50:35,23.0,26.0,0.05,0.16,0.08,call,2021-05-21,0.0684931506849315,1.1875
APHA210521C00027000,2021-04-26 19:50:45,12.0,27.0,0.08,0.1,0.07,call,2021-05-21,0.0684931506849315,1.25
APHA210521C00028000,2021-04-23 15:10:47,1.0,28.0,0.02,0.22,0.1,call,2021-05-21,0.0684931506849315,1.375
APHA210521C00029000,2021-04-22 15:30:32,1.0,29.0,0.01,0.2,0.15,call,2021-05-21,0.0684931506849315,1.53125
APHA210521C00030000,2021-04-26 15:59:21,26.0,30.0,0.05,0.06,0.06,call,2021-05-21,0.0684931506849315,1.375
APHA210521P00014000,2021-04-26 18:54:07,47.0,14.0,0.9,0.96,0.97,put,2021-05-21,0.0684931506849315,0.875
APHA210521P00014500,2021-04-26 16:55:07,1.0,14.5,1.04,1.38,1.28,put,2021-05-21,0.0684931506849315,0.9296875
APHA210521P00015000,2021-04-26 19:25:34,53.0,15.0,1.39,1.61,1.45,put,2021-05-21,0.0684931506849315,0.859375
APHA210521P00015500,2021-04-23 19:08:45,1.0,15.5,1.66,2.03,2.19,put,2021-05-21,0.0684931506849315,1.140625
APHA210521P00016000,2021-04-26 18:12:14,15.0,16.0,2.05,2.31,2.16,put,2021-05-21,0.0684931506849315,0.9140625
APHA210521P00016500,2021-04-23 14:26:27,1.0,16.5,2.36,2.77,3.06,put,2021-05-21,0.0684931506849315,1.28125
APHA210521P00017000,2021-04-26 16:39:56,6.0,17.0,2.81,3.05,3.03,put,2021-05-21,0.0684931506849315,1.03125
APHA210521P00017500,2021-04-23 15:38:50,3.0,17.5,3.1,3.6,3.93,put,2021-05-21,0.0684931506849315,1.40625
APHA210521P00018000,2021-04-23 13:56:02,2.0,18.0,3.6,3.95,4.58,put,2021-05-21,0.0684931506849315,1.59375
APHA210521P00018500,2021-04-20 18:38:45,,18.5,4.0,4.4,5.8,put,2021-05-21,0.0684931506849315,
APHA210521P00019000,2021-04-26 15:51:38,10.0,19.0,4.45,4.85,4.87,put,2021-05-21,0.0684931506849315,1.21875
APHA210521P00020000,2021-04-26 17:24:51,13.0,20.0,5.4,5.75,5.6,put,2021-05-21,0.0684931506849315,1.109375
APHA210521P00021000,2021-04-26 16:19:52,13.0,21.0,6.4,6.7,6.85,put,2021-05-21,0.0684931506849315,1.46875
